# Example of input synthetic signals f and g
# f(t) [amplitude]    g(t) [amplitude]
 0.000054414956981  -0.001279851202580
 0.000062721199371  -0.001163967403517
 0.000069220442818  -0.001016921633893
 0.000072485458909  -0.000855421222836
 0.000070747481802  -0.000692514217158
 0.000061909670550  -0.000537791748162
 0.000043595850167  -0.000397745407456
 0.000013244195463  -0.000276217974621
-0.000031744876355  -0.000174895423066
-0.000093798752124  -0.000093798752124
-0.000174895423066  -0.000031744876355
-0.000276217974621   0.000013244195463
-0.000397745407456   0.000043595850167
-0.000537791748162   0.000061909670550
-0.000692514217158   0.000070747481802
-0.000855421222836   0.000072485458909
-0.001016921633893   0.000069220442818
-0.001163967403517   0.000062721199371
-0.001279851202580   0.000054414956981
-0.001344228071125   0.000045399929762
-0.001333433854349   0.000054414956981
-0.001221171892298   0.000062721199371
-0.000979631634921   0.000069220442818
-0.000581087260111   0.000072485458909
 0.000000000000000   0.000070747481802
 0.000784385756031   0.000061909670550
 0.001785005219447   0.000043595850167
 0.003003598185553   0.000013244195463
 0.004427156305174  -0.000031744876355
 0.006024412254403  -0.000093798752124
 0.007742648582516  -0.000174895423066
 0.009505155589807  -0.000276217974621
 0.011209706535693  -0.000397745407456
 0.012728438307558  -0.000537791748162
 0.013909519878557  -0.000692514217158
 0.014580953482439  -0.000855421222836
 0.014556779670984  -0.001016921633893
 0.013645844433265  -0.001163967403517
 0.011663134080133  -0.001279851202580
 0.008443494585798  -0.001344228071125
 0.003857333179990  -0.001333433854349
-0.002172338200423  -0.001221171892298
-0.009652400946932  -0.000979631634921
-0.018502782331888  -0.000581087260111
-0.028541571225966   0.000000000000000
-0.039473544814647   0.000784385756031
-0.050883614512701   0.001785005219447
-0.062236660268604   0.003003598185553
-0.072885067423832   0.004427156305174
-0.082084998623899   0.006024412254403
-0.089022022380158   0.007742648582516
-0.092846186887413   0.009505155589807
-0.092715990635416   0.011209706535693
-0.087849989577678   0.012728438307558
-0.077584034419212   0.013909519878557
-0.061431400737812   0.014580953482439
-0.039142415999971   0.014556779670984
-0.010759661543448   0.013645844433265
 0.023335505891721   0.011663134080133
 0.062389455165476   0.008443494585798
 0.105259942518910   0.003857333179990
 0.150420550050678  -0.002172338200423
 0.195988668123370  -0.009652400946932
 0.239778629604501  -0.018502782331888
 0.279380175104575  -0.028541571225966
 0.312260797142208  -0.039473544814647
